応募者ID,ポジション,応募日,チャネル,コスト,現在ステージ,ステータス,離脱日,離脱理由,書類選考_日付,書類選考_結果,カジュアル面談_日付,カジュアル面談_面接官,カジュアル面談_評価,カジュアル面談_結果,1次面接_日付,1次面接_面接官,1次面接_評価,1次面接_結果,最終面接_日付,最終面接_面接官,最終面接_評価,最終面接_結果,内定_日付,内定承諾_日付
A001,バックエンドエンジニア,2026-04-02,Indeed,30000,内定承諾,内定承諾,,,2026-04-04,通過,,,,,2026-04-10,佐藤,4,通過,2026-04-24,田中,5,通過,2026-04-28,2026-05-05
A002,バックエンドエンジニア,2026-04-05,リファラル,0,1次面接,進行中,,,2026-04-06,通過,2026-04-09,鈴木,,通過,2026-04-12,佐藤,3,通過,,,,,,
A003,バックエンドエンジニア,2026-04-08,Wantedly,15000,書類選考,離脱,2026-04-15,連絡不通,2026-04-10,不通過,,,,,,,,,,,,,,
A004,フロントエンドエンジニア,2026-04-03,Indeed,30000,最終面接,進行中,,,2026-04-05,通過,,,,,2026-04-11,中村,5,通過,2026-04-18,中村,5,通過,,
A005,フロントエンドエンジニア,2026-04-10,エージェントA,500000,内定,進行中,,,2026-04-12,通過,,,,,2026-04-16,中村,4,通過,2026-04-23,田中,4,通過,2026-04-30,
A006,フロントエンドエンジニア,2026-04-12,Wantedly,15000,1次面接,離脱,2026-04-20,他社内定,2026-04-14,通過,,,,,2026-04-19,中村,2,不通過,,,,,,
A007,セールス,2026-03-20,エージェントB,400000,内定承諾,内定承諾,,,2026-03-22,通過,,,,,2026-03-27,木村,4,通過,2026-04-08,田中,4,通過,2026-04-11,2026-04-20
A008,セールス,2026-03-25,リファラル,0,1次面接,離脱,2026-04-10,条件不一致,2026-03-27,通過,2026-04-01,木村,,通過,2026-04-07,木村,2,不通過,,,,,,
A009,セールス,2026-04-01,Indeed,30000,書類選考,進行中,,,2026-04-03,通過,,,,,,,,,,,,,,
A010,セールス,2026-04-15,Wantedly,15000,応募,進行中,,,,,,,,,,,,,,,,,,
A011,バックエンドエンジニア,2026-05-01,エージェントA,500000,1次面接,進行中,,,2026-05-03,通過,,,,,2026-05-08,佐藤,5,通過,,,,,,
A012,バックエンドエンジニア,2026-05-05,Indeed,30000,書類選考,離脱,2026-05-12,連絡不通,2026-05-07,通過,,,,,,,,,,,,,,
A013,フロントエンドエンジニア,2026-05-10,リファラル,0,カジュアル面談,進行中,,,2026-05-12,通過,2026-05-15,中村,,通過,,,,,,,,,,
A014,フロントエンドエンジニア,2026-05-15,エージェントA,500000,応募,進行中,,,,,,,,,,,,,,,,,,
A015,セールス,2026-05-02,Indeed,30000,最終面接,進行中,,,2026-05-04,通過,,,,,2026-05-09,木村,4,通過,2026-05-16,木村,5,通過,,
